sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2020-04-02;79,02;79,06;79,84;80,92;77,98;79,20;79,206;13662753;1082088633,93;16476;
2020-04-01;78,80;78,84;78,02;79,98;77,60;78,88;78,992;13181638;1041179598,88;14791;
2020-03-31;80,96;80,98;81,50;82,00;78,60;81,06;80,491;20440583;1645289805,17;19841;
2020-03-30;78,18;78,20;74,32;78,68;72,94;78,68;76,655;15671084;1201101802,54;16444;
2020-03-27;73,80;73,84;75,90;76,28;72,70;73,76;74,221;15945121;1183526427,12;16395;
2020-03-26;75,12;75,16;74,56;75,60;73,06;75,60;74,539;15272927;1138373791,77;16339;
2020-03-25;76,16;76,20;78,76;78,86;73,08;76,70;75,906;13845677;1050980636,28;15700;
2020-03-24;75,66;75,70;73,90;76,90;72,36;76,02;75,183;18366283;1380692694,96;20040;
2020-03-23;70,70;70,80;71,38;76,14;70,02;70,56;72,011;16131212;1163866800,51;21629;
2020-03-20;74,16;74,20;77,56;78,14;72,68;74,24;74,731;20347516;1520577614,99;25082;
2020-03-19;74,70;74,80;69,58;75,06;67,88;75,06;72,571;26739755;1938460060,75;30943;
2020-03-18;70,34;70,52;66,20;72,50;64,66;70,10;69,894;23415045;1636274295,83;29590;
2020-03-17;68,50;68,54;65,20;68,88;63,06;68,06;66,643;18286085;1217595331,11;19312;
2020-03-16;62,82;62,92;61,50;64,74;59,54;63,12;62,268;22072695;1374191592,06;29772;
2020-03-13;65,10;65,18;62,14;69,04;61,34;65,02;65,265;26417258;1724088921;31590;
2020-03-12;61,22;61,32;64,56;65,70;60,74;60,98;63,153;26496816;1673896280,95;35624;
2020-03-11;68,88;68,94;69,90;71,16;68,42;68,82;69,676;14651560;1020775201,39;17382;
2020-03-10;69,72;69,78;69,74;72,20;68,54;69,64;70,371;18443174;1297977494,98;22708;
2020-03-09;69,44;69,48;66,94;69,76;66,00;69,26;68,128;20933406;1426024520,07;26528;
2020-03-06;71,50;71,54;73,26;73,40;70,72;71,34;71,672;14219201;1019100352,78;18897;
2020-03-05;74,92;74,96;77,00;77,10;73,78;74,92;74,945;11277136;844985801,6;14526;
2020-03-04;76,00;76,06;76,10;77,14;75,42;76,10;76,191;10240943;780277210,11;11044;
2020-03-03;76,06;76,12;76,88;78,22;76,00;76,00;77,055;10467433;806557759,33;14893;
2020-03-02;76,48;76,54;77,04;78,68;75,54;76,48;76,821;11220815;861777136,91;14233;
2020-02-28;76,44;76,52;78,32;78,42;75,64;76,68;76,982;17808988;1370965624,23;19565;
2020-02-27;79,90;79,98;81,44;81,50;78,12;80,00;79,947;12725079;1017337405,4;17290;
2020-02-26;82,42;82,46;81,52;82,76;79,04;82,28;81,448;10425493;849136432,96;13903;
2020-02-25;82,02;82,08;83,60;84,28;82,02;82,24;82,884;10245257;848685791,25;14089;
2020-02-24;83,48;83,50;85,02;85,18;82,60;83,56;83,518;13717593;1145533832,52;19005;
2020-02-21;86,58;86,62;87,26;87,76;86,34;86,74;87,045;8347845;726581746,5;9901;
2020-02-20;87,52;87,56;87,94;88,10;87,30;87,50;87,683;7083586;621102032,27;8092;
2020-02-19;88,22;88,26;87,82;88,50;87,22;88,12;87,875;6321021;555443292,62;7714;
2020-02-18;87,68;87,70;87,56;88,02;86,96;87,60;87,58;6130006;536874920,59;8455;
2020-02-17;88,20;88,26;88,20;89,22;87,92;88,12;88,426;5064922;447870376,57;6675;
2020-02-14;88,28;88,34;88,20;88,54;87,42;88,20;88,195;7507276;662068438,15;8317;
2020-02-13;88,16;88,20;88,08;88,42;86,98;88,38;87,659;8575006;751678976,91;12811;
2020-02-12;88,26;88,30;87,36;88,82;86,96;88,38;88,077;11925829;1050275047,16;16584;
2020-02-11;88,32;88,38;84,50;88,46;84,16;88,38;86,983;20612024;1792849254,14;24895;
2020-02-10;83,02;83,06;84,42;84,44;82,92;83,00;83,586;13461837;1125225941,37;17978;
2020-02-07;83,78;83,88;80,58;83,94;80,16;83,70;82,608;27425585;2265394919,56;34255;
2020-02-06;79,20;79,26;78,54;79,38;78,04;79,20;78,702;9955521;783510285,05;11670;
2020-02-05;77,56;77,62;78,22;78,62;77,02;77,92;77,765;12089303;939889258,52;12775;
2020-02-04;77,96;78,02;76,46;78,10;76,24;78,10;77,40;11557180;894417973,06;14441;
2020-02-03;76,14;76,18;76,06;77,06;75,10;76,12;76,028;8454642;642809911,79;11806;
