sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2020-04-02;426,90;427,00;428,40;434,50;421,20;428,60;427,416;475194;203103293,2;4069;
2020-04-01;426,80;427,40;417,00;429,20;410,80;428,40;425,098;533391;226698224,15;4622;
2020-03-31;417,00;417,40;414,80;421,00;408,80;417,90;416,342;939317;391057993,2;6506;
2020-03-30;406,90;408,30;406,00;413,20;402,00;410,30;407,594;582348;237343808,2;5665;
2020-03-27;405,70;406,40;402,00;419,10;400,70;403,80;408,308;922483;376732777,8;7820;
2020-03-26;397,60;398,00;394,00;401,00;387,40;397,50;396,652;665339;263899078,1;5884;
2020-03-25;396,70;397,00;408,30;409,90;385,40;397,00;397,429;836092;332347356,05;8138;
2020-03-24;401,50;401,90;425,00;431,20;392,50;402,40;403,829;935757;377862881,1;9025;
2020-03-23;416,80;417,60;431,00;436,60;413,80;415,00;422,522;1013856;428407603,3;9726;
2020-03-20;447,20;448,80;465,00;470,90;433,70;443,00;447,187;1304820;583421364,65;11680;
2020-03-19;458,60;459,30;443,00;467,40;440,10;457,70;456,563;1724218;787226804,3;15364;
2020-03-18;439,20;439,60;400,00;443,90;388,70;441,30;430,399;1893113;814835104,85;17515;
2020-03-17;405,20;405,90;357,70;407,60;356,80;405,60;388,298;1212646;470912679,3;10894;
2020-03-16;351,30;351,90;345,10;354,30;337,70;351,90;346,274;1116712;386653168,8;11532;
2020-03-13;351,40;351,60;340,70;369,20;340,70;351,20;351,635;1092714;383909549,4;10836;
2020-03-12;339,00;339,60;358,70;362,70;338,10;338,90;348,253;1317003;458969139,75;12515;
2020-03-11;369,60;370,10;383,00;387,00;369,80;370,10;375,776;626596;235555672,55;6210;
2020-03-10;382,50;382,80;386,90;395,40;381,00;382,10;386,177;726216;280450785,7;7544;
2020-03-09;385,60;386,00;375,70;391,30;373,40;385,90;382,725;1310682;501659481,5;11109;
2020-03-06;387,70;388,10;386,00;391,70;384,00;387,50;387,222;637657;246887015,85;5541;
2020-03-05;391,00;391,30;390,50;392,40;385,00;391,00;388,753;1032500;401381647,05;6957;
2020-03-04;388,30;388,70;379,20;393,90;379,20;388,10;388,965;842768;327806777,6;7611;
2020-03-03;376,40;376,70;375,80;383,90;373,90;375,90;377,612;612765;231382778;6249;
2020-03-02;367,60;367,80;366,20;374,50;363,30;366,00;368,298;729107;268532507,25;7247;
2020-02-28;360,70;360,90;354,00;363,50;351,90;359,80;359,689;856352;308048380,75;8857;
2020-02-27;364,60;364,90;374,10;374,30;362,20;364,00;366,944;473463;173732011,2;5244;
2020-02-26;376,30;376,50;375,00;378,50;366,30;376,00;374,142;722671;270469236,15;7389;
2020-02-25;375,90;376,30;379,60;383,20;375,20;376,00;377,745;360651;136242968,85;4768;
2020-02-24;380,30;380,60;387,80;389,20;379,60;379,60;382,841;424739;162830983,75;4308;
2020-02-21;390,60;391,00;393,40;395,60;389,40;390,70;391,80;320698;125656304,4;2996;
2020-02-20;393,10;393,40;399,50;401,00;392,40;393,40;394,242;607756;239609281,3;5670;
2020-02-19;399,50;399,90;399,40;403,80;398,70;399,40;400,086;293459;117403035,55;2503;
2020-02-18;399,60;399,80;399,00;400,90;397,60;399,10;399,107;238863;95333049,8;2456;
2020-02-17;398,20;398,50;399,50;400,50;397,30;399,00;398,893;143125;57090864,6;2040;
2020-02-14;398,40;398,50;395,80;400,70;393,90;399,00;398,326;288888;115067689,3;2972;
2020-02-13;395,40;395,60;396,50;398,80;393,10;395,80;396,127;258988;102591355,2;2672;
2020-02-12;397,10;397,50;397,80;400,00;393,40;396,40;396,15;505128;200139775,25;5162;
2020-02-11;398,60;399,00;400,50;404,70;397,80;397,80;399,549;411627;164497502,6;3943;
2020-02-10;400,00;400,40;404,50;404,90;398,50;400,00;401,196;442995;177734264,3;5690;
2020-02-07;405,80;406,20;415,00;416,00;404,20;404,20;407,952;878602;358484071,15;6721;
2020-02-06;415,00;415,20;420,00;427,00;408,90;413,60;414,447;1768684;733088479,65;17994;
2020-02-05;444,00;444,60;433,40;445,50;430,30;445,50;441,40;488749;215718836,75;4434;
2020-02-04;431,50;431,90;425,30;432,60;425,20;432,60;430,209;299472;128827459,55;2475;
2020-02-03;425,50;425,90;423,50;427,50;422,30;425,10;425,183;206042;87605655,5;2554;
