sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2020-04-02;437,30;437,70;443,40;445,90;429,10;439,40;436,588;2217743;968222869,85;17028;
2020-04-01;441,30;441,70;445,70;448,80;433,00;441,80;440,621;2060249;907707545,15;17882;
2020-03-31;456,00;456,40;458,40;463,60;446,80;457,10;455,699;2552448;1163243949,2;18152;
2020-03-30;445,00;445,20;435,60;448,30;425,00;448,30;437,593;1903378;832731093,5;13778;
2020-03-27;435,30;435,80;437,70;437,90;424,60;435,60;432,47;2287944;989479538,65;20467;
2020-03-26;439,00;439,30;425,40;441,50;421,10;441,50;433,443;1992477;863551287,05;14712;
2020-03-25;432,70;433,00;435,00;439,30;402,60;435,50;425,683;3655124;1555907127,05;26383;
2020-03-24;417,50;417,60;403,00;419,90;394,30;419,90;406,88;2554962;1039511311,8;16367;
2020-03-23;385,60;385,80;377,70;404,40;376,70;383,20;386,358;3509655;1385017101,2;26621;
2020-03-20;400,00;400,40;426,30;436,90;394,90;402,10;408,165;4271620;1743043102,95;29584;
2020-03-19;410,40;410,50;391,50;412,20;385,00;412,20;398,517;3825240;1524045714,85;27483;
2020-03-18;389,90;390,10;378,80;393,50;375,10;391,40;386,91;2756411;1066475587,6;21397;
2020-03-17;388,40;388,70;406,50;414,40;375,70;390,00;390,505;4445009;1735486666,15;28214;
2020-03-16;388,20;388,60;388,00;396,90;370,10;388,80;383,308;4214848;1615363819,49;37613;
2020-03-13;408,10;408,70;406,70;433,30;396,20;408,60;413,669;4897817;2026058863,25;38477;
2020-03-12;401,10;401,50;428,60;430,80;397,00;400,00;412,916;5330397;2201758159,95;46146;
2020-03-11;451,40;451,70;461,50;467,00;448,90;452,70;456,663;2446426;1117087290,2;18630;
2020-03-10;458,20;458,40;463,00;482,50;452,60;456,80;468,032;2936035;1374247222;24117;
2020-03-09;459,70;459,90;448,60;469,40;442,40;457,80;457,821;3508613;1606428399,8;33855;
2020-03-06;483,10;483,40;487,50;490,60;478,40;482,90;483,491;1882368;910262143,6;15840;
2020-03-05;498,60;498,80;509,40;511,20;491,60;499,20;499,352;1773892;885470054,45;12961;
2020-03-04;501,80;502,20;496,90;506,40;492,80;501,80;501,185;1676958;840500214,1;11564;
2020-03-03;494,80;495,10;495,00;504,80;491,90;494,20;498,278;2440183;1215912166,15;19162;
2020-03-02;486,20;486,70;484,60;492,50;471,80;485,40;483,623;3388780;1639158987,7;28308;
2020-02-28;475,00;475,10;476,40;486,30;470,70;477,30;477,755;3565745;1703623843,85;31745;
2020-02-27;495,70;496,00;507,60;508,00;485,50;494,80;498,082;2424212;1207588795,35;22949;
2020-02-26;516,60;517,00;514,00;518,20;495,20;516,40;509,304;2691448;1370771443,1;24630;
2020-02-25;516,00;516,20;530,80;536,40;515,60;517,60;523,303;1904624;996656669,2;19937;
2020-02-24;530,20;530,60;549,20;549,20;528,60;530,80;534,749;2222418;1188934610,1;21650;
2020-02-21;557,60;558,00;560,60;564,20;556,60;559,20;560,084;839431;470139255,8;6788;
2020-02-20;563,00;563,20;567,00;568,60;562,00;563,60;564,974;980524;553948446,6;7203;
2020-02-19;565,20;565,60;562,80;566,80;562,80;565,20;565,214;669698;378520049,8;4714;
2020-02-18;563,00;563,40;561,80;566,00;559,00;561,20;562,848;960102;540394109,5;6497;
2020-02-17;563,40;563,60;563,80;566,60;562,40;564,20;564,176;572337;322903471,3;5022;
2020-02-14;563,40;563,80;561,60;564,40;559,80;563,20;562,915;578031;325372435;4444;
2020-02-13;559,60;560,00;558,20;560,60;554,00;560,60;557,58;1047781;584200127,1;7447;
2020-02-12;558,60;559,00;562,00;563,60;558,20;559,00;560,261;1015334;568848006,2;8148;
2020-02-11;560,60;560,80;559,40;561,20;558,20;561,20;560,225;1090148;610728811,9;7471;
2020-02-10;555,40;555,80;553,20;556,80;550,80;555,60;554,988;672371;373158664,8;6295;
2020-02-07;552,60;553,00;554,20;555,80;549,80;553,40;553,072;1074444;594244617,5;7906;
2020-02-06;554,60;554,80;559,60;562,20;553,20;554,20;556,323;1010165;561980518,5;7868;
2020-02-05;555,20;555,40;547,20;557,40;543,80;555,60;553,58;1527013;845349376,5;10292;
2020-02-04;545,40;545,60;534,00;547,40;534,00;547,40;543,491;1305276;709310897,5;7278;
2020-02-03;531,20;531,40;528,20;533,80;524,20;532,20;529,418;1104018;584376560,5;8725;
