Format: date, closeprice
ERIC_B
2020-04-02, 79.20
2020-04-01, 78.88
2020-03-31, 81.06
2020-03-30, 78.68
2020-03-27, 73.76
2020-03-26, 75.60
2020-03-25, 76.70
2020-03-24, 76.02
2020-03-23, 70.56
2020-03-20, 74.24
2020-03-19, 75.06
2020-03-18, 70.10
2020-03-17, 68.06
2020-03-16, 63.12
2020-03-13, 65.02
2020-03-12, 60.98
2020-03-11, 68.82
2020-03-10, 69.64
2020-03-09, 69.26
2020-03-06, 71.34
2020-03-05, 74.92
2020-03-04, 76.10
2020-03-03, 76.00
2020-03-02, 76.48
2020-02-28, 76.68
2020-02-27, 80.00
2020-02-26, 82.28
2020-02-25, 82.24
2020-02-24, 83.56
2020-02-21, 86.74
2020-02-20, 87.50
2020-02-19, 88.12
2020-02-18, 87.60
2020-02-17, 88.12
2020-02-14, 88.20
2020-02-13, 88.38
2020-02-12, 88.38
2020-02-11, 88.38
2020-02-10, 83.00
2020-02-07, 83.70
2020-02-06, 79.20
2020-02-05, 77.92
2020-02-04, 78.10
2020-02-03, 76.12
INVE_B
2020-04-02, 439.40
2020-04-01, 441.80
2020-03-31, 457.10
2020-03-30, 448.30
2020-03-27, 435.60
2020-03-26, 441.50
2020-03-25, 435.50
2020-03-24, 419.90
2020-03-23, 383.20
2020-03-20, 402.10
2020-03-19, 412.20
2020-03-18, 391.40
2020-03-17, 390.00
2020-03-16, 388.80
2020-03-13, 408.60
2020-03-12, 400.00
2020-03-11, 452.70
2020-03-10, 456.80
2020-03-09, 457.80
2020-03-06, 482.90
2020-03-05, 499.20
2020-03-04, 501.80
2020-03-03, 494.20
2020-03-02, 485.40
2020-02-28, 477.30
2020-02-27, 494.80
2020-02-26, 516.40
2020-02-25, 517.60
2020-02-24, 530.80
2020-02-21, 559.20
2020-02-20, 563.60
2020-02-19, 565.20
2020-02-18, 561.20
2020-02-17, 564.20
2020-02-14, 563.20
2020-02-13, 560.60
2020-02-12, 559.00
2020-02-11, 561.20
2020-02-10, 555.60
2020-02-07, 553.40
2020-02-06, 554.20
2020-02-05, 555.60
2020-02-04, 547.40
2020-02-03, 532.20
ICA
2020-04-02, 428.60
2020-04-01, 428.40
2020-03-31, 417.90
2020-03-30, 410.30
2020-03-27, 403.80
2020-03-26, 397.50
2020-03-25, 397.00
2020-03-24, 402.40
2020-03-23, 415.00
2020-03-20, 443.00
2020-03-19, 457.70
2020-03-18, 441.30
2020-03-17, 405.60
2020-03-16, 351.90
2020-03-13, 351.20
2020-03-12, 338.90
2020-03-11, 370.10
2020-03-10, 382.10
2020-03-09, 385.90
2020-03-06, 387.50
2020-03-05, 391.00
2020-03-04, 388.10
2020-03-03, 375.90
2020-03-02, 366.00
2020-02-28, 359.80
2020-02-27, 364.00
2020-02-26, 376.00
2020-02-25, 376.00
2020-02-24, 379.60
2020-02-21, 390.70
2020-02-20, 393.40
2020-02-19, 399.40
2020-02-18, 399.10
2020-02-17, 399.00
2020-02-14, 399.00
2020-02-13, 395.80
2020-02-12, 396.40
2020-02-11, 397.80
2020-02-10, 400.00
2020-02-07, 404.20
2020-02-06, 413.60
2020-02-05, 445.50
2020-02-04, 432.60
2020-02-03, 425.10
SAS
2020-04-02, 8.885
2020-04-01, 8.815
2020-03-31, 8.775
2020-03-30, 8.795
2020-03-27, 8.41
2020-03-26, 8.62
2020-03-25, 8.81
2020-03-24, 8.69
2020-03-23, 8.44
2020-03-20, 8.78
2020-03-19, 8.215
2020-03-18, 8.20
2020-03-17, 8.445
2020-03-16, 8.17
2020-03-13, 8.795
2020-03-12, 8.29
2020-03-11, 9.12
2020-03-10, 9.20
2020-03-09, 8.90
2020-03-06, 9.375
2020-03-05, 8.79
2020-03-04, 9.535
2020-03-03, 9.745
2020-03-02, 9.86
2020-02-28, 10.01
2020-02-27, 9.615
2020-02-26, 10.75
2020-02-25, 12.11
2020-02-24, 12.39
2020-02-21, 13.68
2020-02-20, 14.03
2020-02-19, 14.11
2020-02-18, 13.85
2020-02-17, 14.09
2020-02-14, 14.13
2020-02-13, 14.02
2020-02-12, 14.18
2020-02-11, 14.14
2020-02-10, 13.73
2020-02-07, 13.92
2020-02-06, 13.99
2020-02-05, 13.98
2020-02-04, 14.00
2020-02-03, 14.00
