Format: date, index
2020-03-24, 1383.88
2020-03-23, 1292.27
2020-03-20, 1355.54
2020-03-19, 1380.58
2020-03-18, 1337.24
2020-03-17, 1372.79
2020-03-16, 1329.16
2020-03-13, 1376.46
2020-03-12, 1352.13
2020-03-11, 1511.96
2020-03-10, 1533.79
2020-03-09, 1542.44
2020-03-06, 1629.00
2020-03-05, 1683.19
2020-03-04, 1704.20
2020-03-03, 1694.56
2020-03-02, 1679.13
2020-02-28, 1668.84
2020-02-27, 1721.59
2020-02-26, 1782.10
2020-02-25, 1769.14
2020-02-24, 1798.20
2020-02-21, 1879.10
2020-02-20, 1898.93
2020-02-19, 1900.28
2020-02-18, 1878.79
2020-02-17, 1888.35
2020-02-14, 1885.62
2020-02-13, 1883.02
2020-02-12, 1889.75
2020-02-11, 1884.13
2020-02-10, 1858.00
2020-02-07, 1849.86
2020-02-06, 1851.95
2020-02-05, 1847.35
2020-02-04, 1821.04
2020-02-03, 1782.91
